2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    37. CLEC9A                   expr         (selected in 32% of folds)
2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    38. CCNG2                    expr         (selected in 32% of folds)
2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    39. VGLL3                    meth         (selected in 30% of folds)
2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    40. SNORA71A                 meth         (selected in 30% of folds)
2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    41. PTGER3                   expr         (selected in 30% of folds)
2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    42. RLN1                     expr         (selected in 30% of folds)
2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    43. AFF3                     expr         (selected in 30% of folds)
2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    44. ST6GALNAC6               expr         (selected in 30% of folds)
2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    45. MS4A18                   expr         (selected in 30% of folds)
2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    46. RAI2                     expr         (selected in 28% of folds)
2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    47. CACNG4                   expr         (selected in 28% of folds)
2026-08-31 06:50:12,551 | INFO    | 05_signature_reduction |    48. RP1                      meth         (selected in 28% of folds)
2026-08-31 06:50:12,552 | INFO    | 05_signature_reduction |    49. PGLYRP2                  expr         (selected in 26% of folds)
2026-08-31 06:50:12,552 | INFO    | 05_signature_reduction |    50. SNORD10                  meth         (selected in 26% of folds)
2026-08-31 06:50:12,552 | INFO    | 05_signature_reduction | wrote results/tables/signature_plateau.json
