2026-08-31 06:52:51,132 | INFO    | 05_signature_reduction |    36. GHRL                     meth         (selected in 32% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    37. ACSF2                    expr         (selected in 32% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    38. QPRT                     meth         (selected in 32% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    39. AVIL                     meth         (selected in 30% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    40. ABCA1                    meth         (selected in 30% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    41. SNORA71B                 meth         (selected in 30% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    42. CLRN1OS                  meth         (selected in 30% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    43. RCOR2                    expr         (selected in 30% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    44. LEF1                     expr         (selected in 30% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    45. NDUFB6                   meth         (selected in 30% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    46. LOC730755                meth         (selected in 30% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    47. SPRED2                   meth         (selected in 30% of folds)
2026-08-31 06:52:51,133 | INFO    | 05_signature_reduction |    48. F10                      meth         (selected in 28% of folds)
2026-08-31 06:52:51,134 | INFO    | 05_signature_reduction |    49. A2ML1                    meth         (selected in 28% of folds)
2026-08-31 06:52:51,134 | INFO    | 05_signature_reduction |    50. RNASE6                   meth         (selected in 28% of folds)
2026-08-31 06:52:51,134 | INFO    | 05_signature_reduction | wrote results/tables_5y/signature_plateau.json
