auc,ap,n,n_pos,fold_id,repeat,fold,epochs,val_loss,n_pathways,n_genes_connected
0.4464285714285714,0.18444797097579957,74,14,0,0,0,25,0.8975,217,1191
0.7059523809523809,0.31829586348238303,74,14,1,0,1,22,1.0974,237,1230
0.55,0.21568674011722416,73,13,2,0,2,21,1.0822,237,1268
0.6128205128205128,0.24912537027517234,73,13,3,0,3,22,1.0491,234,1242
0.6937046004842615,0.5021403467520005,73,14,4,0,4,21,1.034,235,1262
0.6630952380952382,0.39645323521421183,74,14,5,1,0,27,0.8883,237,1254
0.6345238095238095,0.3895196874513306,74,14,6,1,1,26,1.0141,221,1202
0.5923076923076923,0.30064471917240027,73,13,7,1,2,30,0.8685,232,1222
0.6782051282051282,0.35334719502591105,73,13,8,1,3,25,0.9375,242,1249
0.549636803874092,0.2794601534117198,73,14,9,1,4,27,0.9098,231,1240
0.6428571428571429,0.2882857317448468,74,14,10,2,0,20,1.1111,249,1256
0.6095238095238096,0.36068444232902064,74,14,11,2,1,18,1.1201,228,1219
0.6307692307692307,0.37405646635355877,73,13,12,2,2,32,0.8014,254,1257
0.5243589743589744,0.26021662600654677,73,13,13,2,3,32,1.034,224,1214
0.7021791767554479,0.3044284520331262,73,14,14,2,4,26,0.9687,222,1233
0.7369047619047618,0.37291517986062117,74,14,15,3,0,21,1.0883,228,1216
0.6488095238095238,0.3835163316705573,74,14,16,3,1,31,0.9459,242,1233
0.5820512820512821,0.27475844787810305,73,13,17,3,2,25,0.9502,216,1244
0.567948717948718,0.3136390902713684,73,13,18,3,3,28,0.8578,234,1238
0.5653753026634383,0.4027927599094637,73,14,19,3,4,25,1.0181,225,1222
0.6273809523809524,0.30950253092479896,74,14,20,4,0,20,1.0891,225,1218
0.6083333333333333,0.3968790673292567,74,14,21,4,1,22,1.0193,247,1233
0.5269230769230769,0.1834723598550539,73,13,22,4,2,24,0.9413,227,1217
0.5974358974358974,0.22718165671377782,73,13,23,4,3,23,1.0422,220,1232
0.589588377723971,0.33930593949609344,73,14,24,4,4,19,1.1191,240,1253
0.7404761904761905,0.4877302447121852,74,14,25,5,0,22,1.0541,229,1214
0.5619047619047619,0.30326951368417443,74,14,26,5,1,22,0.9866,224,1223
0.5102564102564103,0.21008587573786391,73,13,27,5,2,26,0.8987,240,1249
0.6243589743589744,0.24756294075667568,73,13,28,5,3,21,1.0766,233,1227
0.6452784503631961,0.2760621484486432,73,14,29,5,4,31,0.9355,224,1236
0.6797619047619048,0.3392030197507704,74,14,30,6,0,27,0.8398,237,1251
0.5809523809523809,0.34636630539047797,74,14,31,6,1,19,1.1055,229,1255
0.6743589743589744,0.27232536239195504,73,13,32,6,2,25,0.9258,228,1233
0.6384615384615384,0.3288761976515013,73,13,33,6,3,20,1.1121,236,1220
0.5714285714285714,0.2634855693755521,73,14,34,6,4,22,1.0708,232,1217
0.636904761904762,0.3261915917807,74,14,35,7,0,27,0.9324,227,1208
0.6261904761904762,0.34172499840412185,74,14,36,7,1,22,1.0771,250,1248
0.6717948717948717,0.37288670303452504,73,13,37,7,2,22,1.0397,242,1254
0.608974358974359,0.30246629145385484,73,13,38,7,3,30,1.0115,244,1243
0.5157384987893462,0.20754204236982918,73,14,39,7,4,23,0.9934,237,1256
0.6785714285714285,0.32421034752967526,74,14,40,8,0,29,0.9178,229,1250
0.5785714285714285,0.3123216073381605,74,14,41,8,1,27,0.8853,261,1234
0.5115384615384615,0.22779744397010743,73,13,42,8,2,30,0.6739,223,1228
0.6884615384615385,0.27164482428776315,73,13,43,8,3,23,1.0323,216,1246
0.5714285714285714,0.2216263751993645,73,14,44,8,4,21,1.0768,235,1249
0.7357142857142857,0.3317292401338925,74,14,45,9,0,30,1.0194,217,1202
0.7309523809523809,0.3953476504698309,74,14,46,9,1,29,1.066,226,1235
0.40512820512820513,0.1540042155389535,73,13,47,9,2,21,1.0073,238,1217
0.5743589743589743,0.3145014571643104,73,13,48,9,3,23,1.0179,238,1250
0.6150121065375302,0.257740475076903,73,14,49,9,4,26,0.9241,235,1259
