auc,ap,n,n_pos,fold_id,repeat,fold,inner_best_auc
0.5511904761904762,0.2179267628783123,74,14,0,0,0,0.7039
0.7845238095238095,0.47227640997279285,74,14,1,0,1,0.583
0.6141025641025641,0.26973698570614846,73,13,2,0,2,0.6762
0.6564102564102564,0.37640493838217487,73,13,3,0,3,0.664
0.7106537530266344,0.4932223004657612,73,14,4,0,4,0.659
0.7452380952380953,0.4790792766101456,74,14,5,1,0,0.5672
0.6773809523809524,0.38138637183239876,74,14,6,1,1,0.6441
0.5974358974358974,0.41613392171714675,73,13,7,1,2,0.6759
0.6974358974358975,0.3178188268137824,73,13,8,1,3,0.6495
0.7033898305084746,0.4180463833741995,73,14,9,1,4,0.6262
0.7547619047619047,0.40641608827617864,74,14,10,2,0,0.5938
0.6833333333333333,0.4158008030909787,74,14,11,2,1,0.662
0.6397435897435898,0.3464205293482913,73,13,12,2,2,0.6627
0.5423076923076923,0.2665448219514047,73,13,13,2,3,0.6012
0.8014527845036319,0.5847910845977955,73,14,14,2,4,0.6431
0.7464285714285714,0.4305721262803799,74,14,15,3,0,0.6234
0.7285714285714286,0.4938995017984379,74,14,16,3,1,0.5986
0.6833333333333333,0.30539106852376346,73,13,17,3,2,0.6682
0.6461538461538462,0.26022267396892584,73,13,18,3,3,0.6566
0.6222760290556901,0.32606143600923565,73,14,19,3,4,0.6475
0.6738095238095239,0.3187022867223114,74,14,20,4,0,0.623
0.6142857142857143,0.419753612034686,74,14,21,4,1,0.6626
0.632051282051282,0.2622579281383872,73,13,22,4,2,0.6434
0.5602564102564103,0.24267993732906895,73,13,23,4,3,0.7308
0.6973365617433414,0.42117206641953153,73,14,24,4,4,0.6243
0.8309523809523811,0.5751193031792189,74,14,25,5,0,0.583
0.6011904761904762,0.3926970094799457,74,14,26,5,1,0.666
0.5538461538461539,0.29982574904311765,73,13,27,5,2,0.6881
0.6897435897435897,0.2844744123694982,73,13,28,5,3,0.6651
0.6791767554479419,0.3702838207687823,73,14,29,5,4,0.6449
0.7178571428571429,0.33921690094063756,74,14,30,6,0,0.6236
0.5845238095238096,0.3639823911639479,74,14,31,6,1,0.6869
0.7512820512820513,0.48343533820289375,73,13,32,6,2,0.6357
0.7333333333333334,0.4089242496211417,73,13,33,6,3,0.6903
0.7506053268765133,0.35461470924631106,73,14,34,6,4,0.6551
0.6964285714285714,0.4329433377181824,74,14,35,7,0,0.5853
0.7166666666666667,0.48121766354139106,74,14,36,7,1,0.585
0.6564102564102564,0.4028796850861066,73,13,37,7,2,0.6437
0.6730769230769231,0.27623669803547857,73,13,38,7,3,0.6205
0.639225181598063,0.2584453294894503,73,14,39,7,4,0.6197
0.6297619047619047,0.3890427425561669,74,14,40,8,0,0.706
0.5833333333333334,0.3367110166870785,74,14,41,8,1,0.7248
0.5653846153846154,0.2290229003264565,73,13,42,8,2,0.6554
0.7089743589743589,0.33129697133658287,73,13,43,8,3,0.5846
0.6501210653753027,0.30011235830732286,73,14,44,8,4,0.6914
0.6880952380952381,0.2828748843158363,74,14,45,9,0,0.5656
0.8,0.40796597875038143,74,14,46,9,1,0.6071
0.46025641025641023,0.17735779160676796,73,13,47,9,2,0.7113
0.6076923076923078,0.24102776487500416,73,13,48,9,3,0.6541
0.7215496368038741,0.42340262911691484,73,14,49,9,4,0.6537
