feature,block,mean_abs_shap,folds_selected,selection_frequency
meth:MYEOV2,methylation,0.04787684604525566,1,0.02
expr:SLC5A11,expression,0.04767685756087303,5,0.1
meth:MIR1231,methylation,0.04750446602702141,1,0.02
expr:SPTSSB,expression,0.04737137033208815,43,0.86
meth:EDIL3,methylation,0.04725384217901872,13,0.26
expr:SATL1,expression,0.04691628739237785,1,0.02
meth:SLC22A1,methylation,0.04688516138121486,20,0.4
meth:KDM2A,methylation,0.04659589839866385,4,0.08
expr:CFAP100,expression,0.046334896062035114,10,0.2
expr:DLL1,expression,0.04618083988316357,4,0.08
expr:POU1F1,expression,0.046105872746556996,10,0.2
meth:LOC407835,methylation,0.04529609736055136,10,0.2
expr:TNNI3,expression,0.04510081163607538,20,0.4
meth:SPINK8,methylation,0.044894746504724026,4,0.08
expr:MYBPH,expression,0.04454960022121668,2,0.04
meth:PCDHGA9,methylation,0.04430614998140796,22,0.44
expr:F8A1,expression,0.04413171857595444,1,0.02
meth:INSL4,methylation,0.04388611538496871,26,0.52
expr:LY6H,expression,0.043786298131887266,47,0.94
expr:EYA4,expression,0.04349030368030071,2,0.04
expr:GPR22,expression,0.04348862831064157,38,0.76
meth:LARP6,methylation,0.04338088008048742,23,0.46
expr:PAX3,expression,0.043374810385732696,26,0.52
expr:PRSS8,expression,0.043353430926799774,1,0.02
expr:PCDHA13,expression,0.0432584926020354,4,0.08
expr:TMEM45A,expression,0.04325440644752234,50,1.0
expr:SGPP1,expression,0.04322663228958845,2,0.04
meth:PIWIL2,methylation,0.04315187409520149,1,0.02
expr:FBXO43,expression,0.04313923045992851,2,0.04
expr:HEY2,expression,0.04271890347202619,3,0.06
expr:PXDNL,expression,0.04249468562193215,2,0.04
meth:IL2,methylation,0.041844191029667854,6,0.12
expr:MTRNR2L1,expression,0.041788125410676,2,0.04
meth:PRKG2,methylation,0.0417721476405859,2,0.04
expr:CD163L1,expression,0.04169517399098437,39,0.78
expr:PLEKHB1,expression,0.04160074144601822,1,0.02
meth:SLFN14,methylation,0.04155473783612251,2,0.04
expr:PGLYRP1,expression,0.04154615867882967,5,0.1
meth:NFATC3,methylation,0.04139527305960655,1,0.02
meth:P2RX7,methylation,0.04078409820795059,1,0.02
expr:PRAG1,expression,0.0407685823738575,1,0.02
expr:SEZ6L2,expression,0.04070853581652045,6,0.12
meth:IL17RC,methylation,0.04005796134394283,12,0.24
expr:ENPP7,expression,0.039833247725089845,11,0.22
expr:AP003071.5,expression,0.03976375609636307,1,0.02
meth:GREB1L,methylation,0.039703428745269775,1,0.02
expr:NEFH,expression,0.03964101515399913,6,0.12
expr:PTPRU,expression,0.03957723950346311,6,0.12
expr:C9,expression,0.03937999237678014,36,0.72
meth:TDRD6,methylation,0.03936140406815531,38,0.76
expr:MCIDAS,expression,0.03931901603937149,4,0.08
meth:ANKK1,methylation,0.039087748154997826,4,0.08
meth:MRGPRX2,methylation,0.03908446803689003,2,0.04
expr:ZNF488,expression,0.03908004265810762,7,0.14
expr:PAGE2,expression,0.03880184888839722,2,0.04
meth:ASPDH,methylation,0.038697625665615,9,0.18
expr:FAM228A,expression,0.038591033118011965,7,0.14
expr:RAP1GAP2,expression,0.0385739803314209,1,0.02
meth:AK3,methylation,0.0383275356143713,2,0.04
expr:CCDC146,expression,0.03793929807622643,17,0.34
expr:H4C5,expression,0.037927739322185516,2,0.04
meth:MIR1-1,methylation,0.037784737534821033,2,0.04
meth:CHRNA10,methylation,0.03771196649519398,34,0.68
meth:HIST1H2AG,methylation,0.0376381017267704,2,0.04
meth:CRH,methylation,0.03758683800697327,1,0.02
meth:AQP5,methylation,0.037511978298425674,1,0.02
expr:SPP1,expression,0.037483501882324445,29,0.58
expr:CRABP2,expression,0.037442503962665796,2,0.04
expr:GSTM1,expression,0.037231184137789045,38,0.76
expr:FOLR2,expression,0.03704770383774303,8,0.16
expr:TMEM52,expression,0.0369052862127622,3,0.06
meth:TMEM215,methylation,0.03680155798792839,1,0.02
meth:LGALS1,methylation,0.03678121231496334,3,0.06
expr:RLN1,expression,0.03671056650113314,50,1.0
expr:ZCCHC12,expression,0.03636067380596485,7,0.14
meth:GRIP1,methylation,0.03636023062555229,17,0.34
meth:LOC100128842,methylation,0.036295994983187745,49,0.98
expr:C4orf50,expression,0.03629039729657095,42,0.84
expr:ANKRD18A,expression,0.03622098920016509,46,0.92
meth:LOC149837,methylation,0.03559553250670433,1,0.02
meth:SCARNA3,methylation,0.035572425462305546,3,0.06
expr:MS4A1,expression,0.03549535414501232,47,0.94
meth:MSX1,methylation,0.035465650260448456,1,0.02
meth:PPP2R4,methylation,0.0354451909661293,1,0.02
meth:SLC27A5,methylation,0.03542487773423394,3,0.06
expr:BEX3,expression,0.03540395572781563,1,0.02
meth:BICC1,methylation,0.035351186990737915,1,0.02
expr:PNCK,expression,0.03507473386291947,7,0.14
expr:PODNL1,expression,0.03494284674525261,1,0.02
expr:P3H3,expression,0.03481352803355549,40,0.8
expr:ZNF556,expression,0.033994026482105255,1,0.02
expr:HELLS,expression,0.033843913315130134,7,0.14
expr:RIMBP3,expression,0.03380827270448208,5,0.1
meth:KLRG2,methylation,0.03379863375448622,4,0.08
meth:FOLR4,methylation,0.03378162160515785,1,0.02
expr:IL17RD,expression,0.033751752227544785,1,0.02
meth:OR2B3,methylation,0.033593553118407726,2,0.04
expr:SLC35F1,expression,0.03312878595251176,9,0.18
meth:CASP14,methylation,0.03285709939276179,6,0.12
expr:P2RX6,expression,0.032796262906143264,31,0.62
expr:CNTN5,expression,0.032584679930005224,20,0.4
expr:AC015802.6,expression,0.03238632698033124,47,0.94
meth:PCDHGB5,methylation,0.03232437200759622,11,0.22
expr:CPO,expression,0.032241519540548325,1,0.02
expr:TAFA2,expression,0.03216373920440674,2,0.04
meth:TMEM200C,methylation,0.03212285676272586,8,0.16
expr:COL19A1,expression,0.031815596517514096,11,0.22
expr:SMKR1,expression,0.03168739351843085,7,0.14
meth:FGF5,methylation,0.03163361828774214,4,0.08
meth:MOBKL2B,methylation,0.03145445397366648,23,0.46
meth:DPY19L2P4,methylation,0.031432484594953,49,0.98
meth:CER1,methylation,0.031147396227774713,13,0.26
expr:ADCYAP1R1,expression,0.031088875606656075,1,0.02
meth:DENND2A,methylation,0.03091570414493189,17,0.34
meth:DOCK9,methylation,0.030913757579401135,10,0.2
expr:TRPM2,expression,0.030801078137010336,50,1.0
meth:ATP2A1,methylation,0.030663749160196044,19,0.38
expr:LMO3,expression,0.03055308503098786,8,0.16
meth:MIR135A1,methylation,0.030425545177422464,8,0.16
expr:ST6GALNAC4,expression,0.030252296380956282,47,0.94
expr:ECHDC1,expression,0.030194845786106518,22,0.44
meth:KCNK12,methylation,0.030037906020879745,3,0.06
expr:CPNE9,expression,0.029927263036370277,2,0.04
meth:OR52I2,methylation,0.029864791514618055,7,0.14
meth:ICMT,methylation,0.02984556183218956,1,0.02
expr:CPA6,expression,0.029803886078298092,2,0.04
meth:CXCL6,methylation,0.029776618195076782,3,0.06
expr:PAK6,expression,0.029678518054424785,8,0.16
expr:ANKRD18B,expression,0.029582244576886296,2,0.04
meth:SNORA2B,methylation,0.02958173118531704,1,0.02
expr:ASIC5,expression,0.02954746223986149,2,0.04
meth:MYOZ3,methylation,0.02953120693564415,1,0.02
meth:FOXL1,methylation,0.029392267344519496,42,0.84
meth:EYA4,methylation,0.02931190761072295,28,0.56
meth:ECHDC1,methylation,0.02924490214239708,38,0.76
meth:CDCA7L,methylation,0.029229448991827667,3,0.06
meth:DPF1,methylation,0.029182234779000282,1,0.02
expr:MT-ND4L,expression,0.029138803426619796,42,0.84
meth:HPGD,methylation,0.029001668095588684,1,0.02
expr:ZNF165,expression,0.028959489753469826,10,0.2
meth:MIR337,methylation,0.028882735564062994,9,0.18
meth:USP6,methylation,0.028705062189449865,6,0.12
expr:ELOVL7,expression,0.028468492257940983,14,0.28
meth:C21orf90,methylation,0.02845078893005848,1,0.02
expr:DLX3,expression,0.028425660450011492,3,0.06
expr:RXRG,expression,0.02828057836741209,5,0.1
meth:KCNK1,methylation,0.02824357284569285,18,0.36
expr:XKR6,expression,0.028100146878776804,7,0.14
expr:ARL2BP,expression,0.028028704226017,1,0.02
meth:ST7OT2,methylation,0.027964164192477863,6,0.12
meth:A4GALT,methylation,0.027904340997338295,1,0.02
expr:TNFSF18,expression,0.02778812311589718,1,0.02
meth:C1orf65,methylation,0.027606897056102753,1,0.02
meth:GPR20,methylation,0.02733846808162828,3,0.06
meth:C11orf36,methylation,0.02732005901634693,1,0.02
expr:C22orf31,expression,0.027267776429653168,1,0.02
expr:NLRP2,expression,0.02718709083274007,2,0.04
meth:HCN1,methylation,0.027171547563436132,3,0.06
expr:FNDC5,expression,0.026901450008153915,1,0.02
meth:MDS2,methylation,0.026876335963606834,1,0.02
expr:TMPRSS11A,expression,0.02684347704052925,1,0.02
meth:KRTAP10-1,methylation,0.026699714828282595,4,0.08
expr:SOCS3,expression,0.026603064111744363,6,0.12
expr:DQX1,expression,0.026555825024843216,1,0.02
expr:KLHL31,expression,0.02644847333431244,3,0.06
expr:IL17REL,expression,0.026432979851961136,2,0.04
meth:TRIM48,methylation,0.026365940272808076,5,0.1
meth:HLA-DPB2,methylation,0.026332583278417587,2,0.04
meth:LEF1,methylation,0.026211823171858366,36,0.72
expr:CFHR1,expression,0.02613250004859375,28,0.56
meth:CHST8,methylation,0.025954067707061768,1,0.02
meth:WBSCR26,methylation,0.025908356066793203,4,0.08
meth:TRPC3,methylation,0.02575880296062678,50,1.0
expr:LRRC3,expression,0.02574896523895274,49,0.98
meth:TPRKB,methylation,0.0257287435233593,1,0.02
meth:HEPACAM,methylation,0.025392822339199483,9,0.18
meth:ADAMTS5,methylation,0.025369786258254732,7,0.14
expr:HOMER1,expression,0.02524661272764206,1,0.02
meth:IL20RA,methylation,0.025179679650042593,29,0.58
meth:MIR612,methylation,0.025061751056928188,50,1.0
expr:HSPA2,expression,0.025056842419946074,49,0.98
expr:TMEM31,expression,0.02503126286319457,16,0.32
meth:SUGT1P1,methylation,0.02498830296099186,1,0.02
meth:MIR1297,methylation,0.024982169270515442,1,0.02
meth:GAD2,methylation,0.02480123657733202,2,0.04
meth:CTTNBP2,methylation,0.0247131218915159,49,0.98
meth:CASP5,methylation,0.024606809330483276,3,0.06
meth:BGLAP,methylation,0.024581076145987025,50,1.0
expr:ADGRG1,expression,0.0245597871641318,3,0.06
expr:HLA-DQB2,expression,0.024479351937770844,1,0.02
meth:ZNF549,methylation,0.02446855790913105,1,0.02
meth:PSAPL1,methylation,0.024327757958830756,11,0.22
expr:ITPR1,expression,0.02427862025797367,1,0.02
meth:MAFG,methylation,0.024187977239489556,50,1.0
expr:HSD17B14,expression,0.024168706592172386,5,0.1
meth:LOC283392,methylation,0.024166901664681394,44,0.88
expr:KRTCAP3,expression,0.024118438983956974,12,0.24
expr:URAD,expression,0.024116918351501225,5,0.1
meth:CKMT2,methylation,0.024080081144347787,4,0.08
expr:MS4A18,expression,0.024026368842460216,50,1.0
meth:NPY2R,methylation,0.023869499624256166,31,0.62
expr:MSX1,expression,0.023836713030257008,11,0.22
meth:TWIST2,methylation,0.02381865787319839,10,0.2
expr:MEFV,expression,0.023799447109922767,2,0.04
meth:TMEM61,methylation,0.023783721029758453,1,0.02
meth:HCRTR1,methylation,0.023756511509418488,1,0.02
expr:MROH9,expression,0.023623645305633545,1,0.02
expr:RPS27AP5,expression,0.023620912805199623,1,0.02
expr:RAET1E,expression,0.02355043450370431,4,0.08
meth:PEX5L,methylation,0.023500917479395866,1,0.02
expr:RP1,expression,0.023475660473341122,50,1.0
meth:OR13A1,methylation,0.023452225451668102,3,0.06
expr:P2RY2,expression,0.023451115097850563,5,0.1
meth:MIR9-3,methylation,0.023373547941446304,2,0.04
meth:C22orf28,methylation,0.023358848789939657,46,0.92
meth:KRTAP13-3,methylation,0.023321397183462978,30,0.6
expr:CDH8,expression,0.023274982313844648,17,0.34
meth:RSC1A1,methylation,0.02322119791060686,5,0.1
meth:ZNF98,methylation,0.02310699449950143,19,0.38
meth:SYTL1,methylation,0.023012209683656693,2,0.04
expr:EFNA5,expression,0.02300419472157955,1,0.02
expr:MACROH2A2,expression,0.022927364679954706,31,0.62
meth:PRODH2,methylation,0.022888190246054103,7,0.14
expr:H2AC19,expression,0.02284431830048561,1,0.02
meth:CAPN8,methylation,0.022790978408672592,11,0.22
meth:GPR85,methylation,0.022781433537602425,1,0.02
expr:DIO3,expression,0.022712011239491403,16,0.32
expr:MT-ATP8,expression,0.022654784410152326,43,0.86
meth:CHODL,methylation,0.022571088309632614,8,0.16
meth:LOC146880,methylation,0.02239374816417694,3,0.06
expr:MAMDC4,expression,0.02238446681831892,13,0.26
expr:STAB1,expression,0.022329247370362282,5,0.1
