panel_size,n_genes,metabric_auc,locked_cutpoint,tcga_median_score,metabric_median_score,score_shift,locked_n_high,locked_relapse_high,locked_relapse_low,locked_risk_ratio,locked_logrank_p,own_median_n_high,own_median_relapse_high,own_median_relapse_low,own_median_risk_ratio,own_median_logrank_p
20,9,0.6321,0.4101,0.4101,0.4429,0.0328,1084,0.2389,0.1222,1.95,1.204124522453278e-05,951,0.2555,0.122,2.09,4.6820361497543345e-06
50,29,0.5309,0.3397,0.3397,0.3772,0.0375,1072,0.1968,0.1783,1.1,0.7449608756871684,951,0.1987,0.1788,1.11,0.8182607253638561
100,62,0.5331,0.27925,0.2793,0.298,0.0188,1001,0.1928,0.1842,1.05,0.8830709214667265,951,0.1977,0.1798,1.1,0.6275593604792211
250,162,0.5215,0.16174,0.1617,0.1864,0.0246,1012,0.1907,0.1865,1.02,0.5503423087212085,951,0.1924,0.1851,1.04,0.4196115806816889
500,319,0.4806,0.08886,0.0889,0.1293,0.0405,1088,0.1765,0.2052,0.86,0.9417577805508845,951,0.1714,0.2061,0.83,0.8242964166660356
