panel_size,model,n_genes_used,metabric_auc,metabric_ap,tcga_in_sample_auc
20,xgboost,9,0.5582,0.2166,1.0
20,logreg_l2,9,0.6321,0.2753,0.7556
50,xgboost,29,0.5583,0.2277,1.0
50,logreg_l2,29,0.5309,0.2038,0.848
100,xgboost,62,0.5791,0.2257,1.0
100,logreg_l2,62,0.5331,0.204,0.9143
250,xgboost,162,0.5853,0.2338,1.0
250,logreg_l2,162,0.5215,0.2016,0.9874
500,xgboost,319,0.5678,0.2175,1.0
500,logreg_l2,319,0.4806,0.1902,1.0
