feature,block,mean_abs_shap,folds_selected,selection_frequency
expr:SLFN12,expression,0.00013051739993638227,7,0.14
expr:SLC49A3,expression,0.00013016687500147292,13,0.26
expr:XCL2,expression,0.0001298757629496429,17,0.34
expr:C5orf58,expression,0.00012981075355235268,17,0.34
expr:ZNF396,expression,0.0001291741808766828,17,0.34
expr:SPRY1,expression,0.00012902583901969983,14,0.28
expr:OPN1SW,expression,0.0001283222227357328,8,0.16
expr:CCDC191,expression,0.0001282662075633804,12,0.24
expr:KRT3,expression,0.0001279836844490922,23,0.46
meth:KRT40,methylation,0.00012720964150503278,12,0.24
meth:CMA1,methylation,0.00012683118499505022,3,0.06
meth:CCDC158,methylation,0.000126617553178221,2,0.04
meth:ZP4,methylation,0.00012621216592378914,3,0.06
expr:MYOT,expression,0.0001261133501040084,7,0.14
expr:NME5,expression,0.00012525451893452555,2,0.04
meth:SLC25A18,methylation,0.0001251792683350769,22,0.44
expr:RGS18,expression,0.00012501603923738004,15,0.3
expr:PGLYRP4,expression,0.00012435168100637383,40,0.8
expr:FITM1,expression,0.0001240000274265185,12,0.24
expr:DPYD,expression,0.00012257128671210792,35,0.7
expr:ABCB9,expression,0.00012223268277011812,6,0.12
meth:MS4A13,methylation,0.00012204633821966127,4,0.08
meth:BTN1A1,methylation,0.00012144589666551088,34,0.68
expr:CD96,expression,0.0001213420888013912,33,0.66
expr:LY6D,expression,0.0001212612260133028,24,0.48
expr:ABAT,expression,0.00012108464168546641,46,0.92
expr:ASS1,expression,0.00012097838155638713,13,0.26
expr:RNF213,expression,0.00012087893749897678,15,0.3
meth:MIR1228,methylation,0.00012070894133233066,7,0.14
expr:UMOD,expression,0.00012056878040311858,8,0.16
expr:TGFBR3,expression,0.00012037285099116464,6,0.12
expr:SLC16A6,expression,0.00011994901433354244,8,0.16
expr:MSI2,expression,0.000119843686115928,5,0.1
meth:KRBA2,methylation,0.00011950511751430375,21,0.42
expr:KCNN4,expression,0.00011885497951880097,3,0.06
meth:SPARCL1,methylation,0.00011869919295090117,14,0.28
expr:DNAAF6,expression,0.00011824152898043394,2,0.04
expr:USP35,expression,0.00011823113709397148,8,0.16
expr:UGT3A2,expression,0.00011818006169050932,13,0.26
expr:KLHL33,expression,0.00011786829402789157,47,0.94
