panel_size,expression_markers,methylation_markers_dropped,clinical_markers,expression_markers_mapped_to_METABRIC,mapping_rate
20,4,15,1,4,1.0
50,9,40,1,9,1.0
100,27,72,1,26,0.963
250,80,169,1,77,0.963
500,186,313,1,179,0.962
