model,n_folds,auc_mean,auc_sd,auc_ci_lo,auc_ci_hi,ap_mean,ap_sd,ap_ci_lo,ap_ci_hi
A_full (age+stage+PAM50),50,0.6889,0.0703,0.6694,0.7084,0.6317,0.0731,0.6114,0.652
"A_no_PAM50 (age+stage only, TRUE clinical)",50,0.7023,0.0792,0.6804,0.7242,0.6543,0.0819,0.6316,0.677
A_PAM50_only,50,0.5501,0.0616,0.533,0.5672,0.4106,0.0453,0.3981,0.4232
A_age_only,50,0.5941,0.0632,0.5766,0.6117,0.5061,0.0672,0.4875,0.5248
A_stage_only,50,0.6656,0.0674,0.647,0.6843,0.5273,0.063,0.5098,0.5447
A_full_excl_stageIV,50,0.6537,0.0719,0.6338,0.6737,0.5554,0.0756,0.5344,0.5763
A_no_PAM50_excl_stageIV,50,0.6684,0.0807,0.6461,0.6908,0.581,0.0877,0.5567,0.6053
