panel_size,model,metabric_auc,logrank_p,logrank_stat
50,logreg_l2,0.6165,1.2721410693054196e-05,19.051854201639443
250,xgboost,0.6109,3.5258207501901885e-05,17.110962320810675
500,xgboost,0.6046,1.4891951720354938e-06,23.161890360624415
50,xgboost,0.5817,0.00260104585684723,9.068118335067066
100,logreg_l2,0.5783,0.001051294750480301,10.734974077676608
250,logreg_l2,0.5733,0.0009860936745168523,10.853496942892502
100,xgboost,0.5704,0.042519385780508547,4.114408721218782
500,logreg_l2,0.559,0.0033514784374055217,8.605508166608299
