model,n_folds,auc_mean,auc_sd,auc_ci_lo,auc_ci_hi,ap_mean,ap_sd,ap_ci_lo,ap_ci_hi,features,n_features,n_features_total,select_k,mean_epochs,mean_pathways
A_clinical,50,0.6889,0.0703,0.6694,0.7084,0.6317,0.0731,0.6114,0.652,age;stage;pam50_Basal;pam50_Her2;pam50_LumA;pam50_LumB;pam50_Normal,7.0,,,,
B_xgboost_multiomics,50,0.6255,0.0624,0.6082,0.6428,0.5453,0.0755,0.5244,0.5663,,,19338.0,2000.0,,
C_pnet_pathway_nn,50,0.6193,0.0635,0.6017,0.6369,0.5378,0.077,0.5165,0.5591,,,,,35.9,223.0
