auc,ap,n,n_pos,fold_id,repeat,fold,inner_best_auc
0.6167763157894737,0.4984234168785854,51,19,0,0,0,0.5767
0.5575657894736842,0.5514280037552335,51,19,1,0,1,0.674
0.7105263157894737,0.5920629512612565,51,19,2,0,2,0.5286
0.6792763157894737,0.5681086530198433,51,19,3,0,3,0.6538
0.6909722222222222,0.5309114032959056,50,18,4,0,4,0.5979
0.5625,0.5578268602349379,51,19,5,1,0,0.6904
0.6990131578947367,0.5380097580414799,51,19,6,1,1,0.6444
0.7072368421052632,0.636870893321122,51,19,7,1,2,0.6773
0.65625,0.6019511282640011,51,19,8,1,3,0.5851
0.6319444444444445,0.5398405317081112,50,18,9,1,4,0.6003
0.606907894736842,0.4470263071859797,51,19,10,2,0,0.6624
0.707236842105263,0.673042420402278,51,19,11,2,1,0.6591
0.5871710526315789,0.5248462539858155,51,19,12,2,2,0.5968
0.6842105263157895,0.6506059855414863,51,19,13,2,3,0.5819
0.6145833333333334,0.5591392484515236,50,18,14,2,4,0.6832
0.5148026315789473,0.5363617179642555,51,19,15,3,0,0.6288
0.6381578947368421,0.5185293299452444,51,19,16,3,1,0.6297
0.5953947368421053,0.45836555935524836,51,19,17,3,2,0.6596
0.6398026315789473,0.6004174626543046,51,19,18,3,3,0.6231
0.5451388888888888,0.4125583851591828,50,18,19,3,4,0.6424
0.7434210526315789,0.7112460375389749,51,19,20,4,0,0.6043
0.5279605263157894,0.46973207824095137,51,19,21,4,1,0.6903
0.5164473684210525,0.42724159947590273,51,19,22,4,2,0.7076
0.6973684210526316,0.6407091852075875,51,19,23,4,3,0.6349
0.6215277777777777,0.5079560531398474,50,18,24,4,4,0.6417
0.542763157894737,0.46764275276601375,51,19,25,5,0,0.7043
0.506578947368421,0.42422768028999497,51,19,26,5,1,0.6959
0.6578947368421052,0.6174306037451338,51,19,27,5,2,0.6872
0.6101973684210527,0.5175209862849672,51,19,28,5,3,0.6442
0.6631944444444444,0.5650717852324892,50,18,29,5,4,0.5512
0.6447368421052632,0.5186640281323986,51,19,30,6,0,0.6831
0.6513157894736842,0.5757942203754691,51,19,31,6,1,0.6671
0.6874999999999999,0.6534513815808674,51,19,32,6,2,0.5004
0.5625,0.4383651973099881,51,19,33,6,3,0.637
0.5920138888888888,0.6013444766600473,50,18,34,6,4,0.6136
0.618421052631579,0.48391376283266513,51,19,35,7,0,0.7007
0.6529605263157895,0.5850763378497434,51,19,36,7,1,0.6208
0.6875,0.6202542912218474,51,19,37,7,2,0.6087
0.5657894736842105,0.5439695622739424,51,19,38,7,3,0.6801
0.579861111111111,0.4407529955213021,50,18,39,7,4,0.6595
0.537828947368421,0.42854718362947136,51,19,40,8,0,0.5943
0.6726973684210527,0.5279482462546858,51,19,41,8,1,0.6009
0.6398026315789473,0.5834795355212778,51,19,42,8,2,0.6295
0.6101973684210525,0.4986228780691424,51,19,43,8,3,0.6379
0.7638888888888888,0.724404729994071,50,18,44,8,4,0.5735
0.6463815789473684,0.5970046614440117,51,19,45,9,0,0.6404
0.6101973684210525,0.5194907625487535,51,19,46,9,1,0.7159
0.537828947368421,0.469472591765134,51,19,47,9,2,0.6352
0.6332236842105263,0.525367758350512,51,19,48,9,3,0.589
0.6458333333333333,0.5860416641900941,50,18,49,9,4,0.58
