model,n_folds,auc_mean,auc_sd,auc_ci_lo,auc_ci_hi,ap_mean,ap_sd,ap_ci_lo,ap_ci_hi,panel_size
panel_20,50,0.6458,0.0708,0.6262,0.6655,0.5478,0.0805,0.5255,0.5701,20
panel_50,50,0.6387,0.0633,0.6212,0.6563,0.5463,0.0767,0.525,0.5675,50
panel_100,50,0.6336,0.0599,0.617,0.6502,0.5353,0.0792,0.5134,0.5573,100
panel_250,50,0.6336,0.0649,0.6156,0.6515,0.5429,0.0784,0.5212,0.5646,250
panel_500,50,0.6308,0.0613,0.6138,0.6478,0.5416,0.0838,0.5184,0.5648,500
